,X,Y,Regiao,mcirc,municipio,RISP,AISP_COMP,DP,ano,mes,TIPO,Ocorrencias,Objectid
2588,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,1,aaapai_cmba,13.0,213842
2589,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,1,aaapai_cmba,29.0,213892
2590,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,1,aaapai_cmba,40.0,213942
2591,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,1,aaapai_cmba,9.0,213992
2592,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,2,aaapai_cmba,6.0,214042
2593,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,2,aaapai_cmba,22.0,214092
2594,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,2,aaapai_cmba,20.0,214142
2595,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,2,aaapai_cmba,10.0,214192
2596,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,3,aaapai_cmba,17.0,214242
2597,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,3,aaapai_cmba,26.0,214292
2598,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,3,aaapai_cmba,44.0,214342
2599,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,3,aaapai_cmba,6.0,214392
2620,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,4,aaapai_cmba,8.0,214442
2621,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,4,aaapai_cmba,21.0,214492
2622,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,4,aaapai_cmba,31.0,214542
2623,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,4,aaapai_cmba,2.0,214592
2624,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,5,aaapai_cmba,12.0,214642
2625,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,5,aaapai_cmba,24.0,214692
2626,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,5,aaapai_cmba,36.0,214742
2627,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,5,aaapai_cmba,2.0,214792
2628,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,6,aaapai_cmba,7.0,214842
2629,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,6,aaapai_cmba,11.0,214892
2630,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,6,aaapai_cmba,31.0,214942
2631,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,6,aaapai_cmba,4.0,214992
2632,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,7,aaapai_cmba,3.0,215042
2633,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,7,aaapai_cmba,18.0,215092
2634,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,7,aaapai_cmba,23.0,215142
2635,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,7,aaapai_cmba,3.0,215192
2636,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,8,aaapai_cmba,4.0,215242
2637,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,8,aaapai_cmba,8.0,215292
2638,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,8,aaapai_cmba,18.0,215342
2639,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,8,aaapai_cmba,6.0,215392
2660,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,9,aaapai_cmba,5.0,215442
2661,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,9,aaapai_cmba,15.0,215492
2662,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,9,aaapai_cmba,18.0,215542
2663,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,9,aaapai_cmba,5.0,215592
2664,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,10,aaapai_cmba,7.0,215642
2665,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,10,aaapai_cmba,20.0,215692
2666,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,10,aaapai_cmba,21.0,215742
2667,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,10,aaapai_cmba,6.0,215792
2668,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,11,aaapai_cmba,7.0,215842
2669,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,11,aaapai_cmba,25.0,215892
2670,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,11,aaapai_cmba,41.0,215942
2671,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,11,aaapai_cmba,8.0,215992
2672,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,12,aaapai_cmba,10.0,216042
2673,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,12,aaapai_cmba,20.0,216092
2674,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,12,aaapai_cmba,33.0,216142
2675,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,12,aaapai_cmba,11.0,216192
20947,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,1,ameaca,80.0,213843
20948,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,1,ameaca,65.0,213893
20949,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,1,ameaca,89.0,213943
20950,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,1,ameaca,49.0,213993
20951,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2016,2,ameaca,76.0,214043
20952,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2016,2,ameaca,61.0,214093
20953,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2016,2,ameaca,92.0,214143
20954,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2016,2,ameaca,33.0,214193
