,X,Y,Regiao,mcirc,municipio,RISP,AISP_COMP,DP,ano,mes,TIPO,Ocorrencias,Objectid
2640,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,2,aaapai_cmba,3.0,216442
2641,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,2,aaapai_cmba,14.0,216492
2642,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,2,aaapai_cmba,18.0,216542
2643,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,2,aaapai_cmba,1.0,216592
2644,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,3,aaapai_cmba,7.0,216642
2645,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,3,aaapai_cmba,20.0,216692
2646,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,3,aaapai_cmba,39.0,216742
2647,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,3,aaapai_cmba,14.0,216792
2648,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,4,aaapai_cmba,3.0,216842
2649,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,4,aaapai_cmba,16.0,216892
2650,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,4,aaapai_cmba,29.0,216942
2651,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,4,aaapai_cmba,1.0,216992
2652,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,5,aaapai_cmba,14.0,217042
2653,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,5,aaapai_cmba,13.0,217092
2654,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,5,aaapai_cmba,39.0,217142
2655,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,5,aaapai_cmba,2.0,217192
2656,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,6,aaapai_cmba,13.0,217242
2657,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,6,aaapai_cmba,19.0,217292
2658,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,6,aaapai_cmba,31.0,217342
2659,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,6,aaapai_cmba,3.0,217392
2676,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,1,aaapai_cmba,6.0,216242
2677,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,1,aaapai_cmba,13.0,216292
2678,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,1,aaapai_cmba,22.0,216342
2679,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,1,aaapai_cmba,9.0,216392
2680,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,7,aaapai_cmba,5.0,217442
2681,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,7,aaapai_cmba,16.0,217492
2682,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,7,aaapai_cmba,10.0,217542
2683,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,7,aaapai_cmba,0.0,217592
2684,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,8,aaapai_cmba,7.0,217642
2685,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,8,aaapai_cmba,9.0,217692
2686,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,8,aaapai_cmba,22.0,217742
2687,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,8,aaapai_cmba,1.0,217792
2688,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,9,aaapai_cmba,0.0,217842
2689,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,9,aaapai_cmba,15.0,217892
2690,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,9,aaapai_cmba,15.0,217942
2691,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,9,aaapai_cmba,2.0,217992
2692,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,10,aaapai_cmba,8.0,218042
2693,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,10,aaapai_cmba,4.0,218092
2694,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,10,aaapai_cmba,15.0,218142
2695,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,10,aaapai_cmba,3.0,218192
2696,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,11,aaapai_cmba,1.0,218242
2697,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,11,aaapai_cmba,7.0,218292
2698,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,11,aaapai_cmba,22.0,218342
2699,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,11,aaapai_cmba,1.0,218392
2700,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,12,aaapai_cmba,5.0,218442
2701,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,12,aaapai_cmba,12.0,218492
2702,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,12,aaapai_cmba,17.0,218542
2703,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,12,aaapai_cmba,3.0,218592
20999,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,2,ameaca,19.0,216443
21000,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,2,ameaca,11.0,216493
21001,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,2,ameaca,14.0,216543
21002,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,2,ameaca,8.0,216593
21003,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,3,ameaca,30.0,216643
21004,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,3,ameaca,57.0,216693
21005,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,3,ameaca,30.0,216743
21006,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,3,ameaca,16.0,216793
21007,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,4,ameaca,81.0,216843
21008,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,4,ameaca,70.0,216893
21009,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,4,ameaca,67.0,216943
21010,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,4,ameaca,28.0,216993
21011,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,5,ameaca,68.0,217043
21012,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,5,ameaca,56.0,217093
21013,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,5,ameaca,60.0,217143
21014,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,5,ameaca,32.0,217193
21015,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,6,ameaca,69.0,217243
21016,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,6,ameaca,63.0,217293
21017,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,6,ameaca,48.0,217343
21018,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,6,ameaca,26.0,217393
21035,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,1,ameaca,75.0,216243
21036,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,1,ameaca,69.0,216293
21037,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,1,ameaca,51.0,216343
21038,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,1,ameaca,30.0,216393
21039,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,7,ameaca,74.0,217443
21040,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,7,ameaca,60.0,217493
21041,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,7,ameaca,75.0,217543
21042,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,7,ameaca,28.0,217593
21043,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,8,ameaca,71.0,217643
21044,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,8,ameaca,51.0,217693
21045,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,8,ameaca,71.0,217743
21046,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,8,ameaca,37.0,217793
21047,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,9,ameaca,74.0,217843
21048,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,9,ameaca,61.0,217893
21049,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,9,ameaca,60.0,217943
21050,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,9,ameaca,33.0,217993
21051,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,10,ameaca,84.0,218043
21052,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,10,ameaca,83.0,218093
21053,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,10,ameaca,50.0,218143
21054,-42.97640571299996,-22.860173744999944,Grande Niterói,3304904,São Gonçalo,4,7,75,2017,10,ameaca,43.0,218193
21055,-43.03652377599997,-22.79911572399993,Grande Niterói,3304904,São Gonçalo,4,7,72,2017,11,ameaca,72.0,218243
21056,-43.07746695999998,-22.830884117999968,Grande Niterói,3304904,São Gonçalo,4,7,73,2017,11,ameaca,42.0,218293
21057,-42.970366384999984,-22.796232407999984,Grande Niterói,3304904,São Gonçalo,4,7,74,2017,11,ameaca,63.0,218343
